loss,prob
-15774.9,0.5077779786714991
-10503.1,0.5144821260017571
-8912.4,0.644732944170022
-4523.299999999999,0.6468232387626182
-3977.7,0.8237470695758805
-3640.600000000001,0.8271601267886518
587.5999999999999,0.8722259829337369
748.5,0.8724077706269479
1294.0999999999995,0.8763870671928154
2339.2000000000007,0.8775746728129569
2884.8,0.9362716912799591
5859.4,0.938017669656886
7273.900000000001,0.9393678751524447
7450.1,0.9583029194219912
7611.0,0.9584210459581083
8156.6,0.9605509893688816
11839.2,0.9612057259798755
12384.800000000001,0.9842835184038387
12545.7,0.9844137625203924
12721.899999999998,0.9854072475964141
14136.400000000001,0.9862018648516793
17111.0,0.9862733873850706
17656.6,0.9874022462061882
18701.7,0.9878045002404527
19247.300000000003,0.9983739214652988
19408.2,0.9984605687191059
23636.4,0.9989097515789324
23973.5,0.9989586923806796
24519.1,0.9996254892492251
28908.2,0.9996788236965748
30498.9,0.9999627637647572
35770.7,1.0
